,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
818,700.0,Max,Dowman,3,4.2,0.9,5,1.0,2.1666649042734534
663,565.0,Guglielmo,Vicario,1,4.7,5.0,3,1.0,2.165805203722716
550,193.0,Bashir,Humphreys,2,3.9,0.1,4,1.0,2.157204590732461
416,372.0,Andrew,Robertson,2,5.7,1.0,3,1.0,2.1563081794144083
25,437.0,Lisandro,Martínez,2,4.8,0.4,3,1.0,2.1546299301489498
62,241.0,Moisés,Caicedo Corozo,3,5.7,7.3,4,1.0,2.1456545452385187
497,44.0,Lamare,Bogarde,2,4.0,0.5,2,1.0,2.141945853099866
823,816.0,Angel,Gomes,3,4.7,0.0,3,1.0,2.1413440257955885
69,423.0,Nico,González Iglesias,3,5.9,0.1,4,1.0,2.1396799611046187
629,262.0,Chadi,Riad Dnanou,2,4.0,0.0,2,1.0,2.139577142073426
716,663.0,Jhon,Arias,3,4.9,0.1,3,1.0,2.133197151618191
115,98.0,Enes,Ünal,4,5.4,0.0,3,1.0,2.1308123821422096
734,347.0,Gabriel,Gudmundsson,2,3.8,3.2,3,1.0,2.1117307969968007
437,672.0,Jorrel,Hato,2,4.6,0.2,3,1.0,2.1063701092528637
156,73.0,Adam,Smith,2,4.4,0.2,3,1.0,2.104128650582173
382,642.0,Hwang,Hee-chan,3,5.6,0.1,3,1.0,2.0981840773098535
289,86.0,David,Brooks,3,5.0,0.2,2,1.0,2.089472222052471
752,582.0,Mohammed,Kudus,3,6.4,9.2,3,1.0,2.0849752258097323
404,170.0,James,Milner,3,4.9,0.1,3,1.0,2.083769322063336
117,124.0,Jordan,Henderson,3,5.0,0.3,3,1.0,2.0833055268556784
721,713.0,Álex,Jiménez Sánchez,2,4.5,0.2,2,1.0,2.079671138730519
593,209.0,Josh,Laurent,3,4.8,0.0,4,1.0,2.0782790607855457
783,246.0,Andrey,Nascimento dos Santos,3,4.5,0.3,3,1.0,2.0744851998726337
513,238.0,Estêvão,Almeida de Oliveira Gonçalves,3,6.4,1.8,4,1.0,2.0744141829860188
236,32.0,Emiliano,Martínez Romero,1,5.1,4.8,2,1.0,2.0742722272597445
479,610.0,Aaron,Wan-Bissaka,2,4.1,4.5,3,1.0,2.070213013725151
141,635.0,Rodrigo,Martins Gomes,2,4.4,0.1,3,1.0,2.0702075004725864
297,202.0,Jacob,Bruun Larsen,3,5.2,0.0,3,1.0,2.067725330621931
405,206.0,Marcus,Edwards,3,4.7,0.1,3,1.0,2.0625703961710635
438,677.0,Evann,Guessand,3,6.2,0.0,2,1.0,2.0488134656806776
174,567.0,Antonín,Kinský,1,3.9,2.2,3,1.0,2.0461336940571506
84,541.0,Reinildo,Mandava,2,3.8,3.3,4,1.0,2.0405482857179877
588,121.0,Mikkel,Damsgaard,3,5.6,0.8,3,1.0,2.0361156709426402
344,41.0,Pau,Torres,2,4.3,0.3,2,1.0,2.0298801409531264
811,615.0,Crysencio,Summerville,3,5.5,1.5,3,1.0,2.0249586117132843
724,270.0,Will,Hughes,3,4.7,0.1,2,1.0,2.0067493106087695
419,406.0,Abdukodir,Khusanov,2,5.4,0.5,2,1.0,2.003733780786163
670,697.0,Amine,Adli,3,5.4,0.3,3,1.0,2.0026907651340977
125,254.0,Walter,Benítez,1,3.9,0.3,2,1.0,2.001531511032375
366,374.0,Ibrahima,Konaté,2,5.5,4.3,3,1.0,2.000338746096372
548,190.0,Hjalmar,Ekdal,2,3.8,0.7,3,1.0,1.998367849436343
251,247.0,Dário,Luís Essugo,3,4.3,0.1,3,1.0,1.9926435274702192
