,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
678,654.0,Jørgen,Strand Larsen,4,5.9,1.6,3,1.0,2.229693869577281
583,682.0,David,Møller Wolfe,2,4.2,0.1,2,1.0,2.228169141337934
32,699.0,Douglas Luiz,Soares de Paulo,3,4.9,0.1,3,1.0,2.22561098237764
164,105.0,Hákon Rafn,Valdimarsson,1,3.8,0.7,3,1.0,2.2209125219139527
111,270.0,Will,Hughes,3,4.7,0.1,3,1.0,2.220900013895064
135,500.0,William,Osula,4,5.4,0.3,3,1.0,2.2208297570753612
144,632.0,Matt,Doherty,2,4.4,0.1,2,1.0,2.2164866721978544
160,55.0,Ross,Barkley,3,4.8,0.1,3,1.0,2.199873761712798
285,263.0,Nathaniel,Clyne,2,3.8,0.5,3,1.0,2.192946181412933
61,272.0,Jefferson,Lerma Solís,3,4.9,0.1,3,1.0,2.186766190912817
815,700.0,Max,Dowman,3,4.2,0.7,3,1.0,2.184867827246499
660,254.0,Walter,Benítez,1,3.9,0.3,3,1.0,2.182069968871617
203,36.0,Matty,Cash,2,4.7,7.9,3,1.0,2.178104320242831
628,573.0,Djed,Spence,2,4.1,0.9,3,1.0,2.1691580990555157
565,374.0,Ibrahima,Konaté,2,5.5,3.9,3,1.0,2.164321393284679
267,19.0,Gabriel,Martinelli Silva,3,6.8,0.9,3,1.0,2.1626948834487068
44,44.0,Lamare,Bogarde,2,4.0,0.5,3,1.0,2.1583537734262137
440,372.0,Andrew,Robertson,2,5.7,1.0,3,1.0,2.1547498722976
465,717.0,Xavi,Simons,3,6.5,1.1,3,1.0,2.1542969915283074
633,663.0,Jhon,Arias,3,4.9,0.1,2,1.0,2.1535896131890864
5,129.0,Yehor,Yarmoliuk,3,5.0,0.1,3,1.0,2.148751469527752
515,424.0,Oscar,Bobb,3,5.1,0.2,4,1.0,2.1476514149472163
521,527.0,Taiwo,Awoniyi,4,5.2,0.3,3,1.0,2.1463612650905963
586,727.0,Samuel,Chukwueze,3,5.3,0.1,4,1.0,2.142362511157779
526,547.0,Enzo,Le Fée,3,4.9,1.0,2,1.0,2.133670700414366
620,338.0,Rodrigo,Muniz Carvalho,4,5.3,0.7,4,1.0,2.1314528167730096
814,690.0,Rio,Cardines,3,4.4,0.3,3,1.0,2.1147491822173445
715,616.0,Edson,Álvarez Velázquez,3,4.9,0.0,1,1.0,2.1147491822173445
730,12.0,Oleksandr,Zinchenko,2,4.9,0.2,3,1.0,2.1147491822173445
711,537.0,Niall,Huggins,2,4.0,0.1,2,1.0,2.1147491822173445
508,375.0,Conor,Bradley,2,4.9,0.1,3,1.0,2.1147491822173445
527,549.0,Dan,Neil,3,4.8,0.0,2,1.0,2.1147491822173445
721,760.0,Wellity,Lucky,2,4.0,0.0,3,1.0,2.1147491822173445
510,383.0,Luis,Díaz Marulanda,3,8.0,0.0,3,1.0,2.1147491822173445
525,546.0,Milan,Aleksić,3,4.9,0.0,2,1.0,2.1147491822173445
516,434.0,Tom,Heaton,1,3.8,0.4,2,1.0,2.1147491822173445
722,769.0,Bendito,Mantato,3,4.5,0.0,2,1.0,2.1147491822173445
725,822.0,Jaydon,Jones,3,4.5,0.0,2,1.0,2.1147491822173445
523,534.0,Joe,Anderson,2,3.8,0.3,2,1.0,2.1147491822173445
524,545.0,Patrick,Roberts,3,5.4,0.0,2,1.0,2.1147491822173445
712,542.0,Jenson,Seelt,2,4.0,0.1,2,1.0,2.1147491822173445
768,821.0,Jack,Whittaker,3,4.5,0.0,2,1.0,2.1147491822173445
731,23.0,Fábio,Ferreira Vieira,3,5.4,0.0,3,1.0,2.1147491822173445
784,281.0,Kaden,Rodney,3,4.4,0.0,3,1.0,2.1147491822173445
754,533.0,Aji,Alese,2,4.0,0.0,2,1.0,2.1147491822173445
755,556.0,Pierre,Ekwah Elimby,3,4.5,0.0,2,1.0,2.1147491822173445
756,562.0,Ahmed,Abdullahi,4,4.2,0.4,2,1.0,2.1147491822173445
757,564.0,Nazarii,Rusyn,4,4.4,0.1,2,1.0,2.1147491822173445
653,128.0,Frank,Onyeka,3,4.8,0.0,3,1.0,2.1147491822173445
574,538.0,Zak,Johnson,2,3.8,0.2,2,1.0,2.1147491822173445
759,604.0,Emerson,Palmieri dos Santos,2,4.4,0.0,1,1.0,2.1147491822173445
