,player_id,first_name,second_name,position,curr_price,ownership_percent,chance_of_playing_next_round,fixture_difficulty,predicted_points
703,654.0,Jørgen,Strand Larsen,4,5.9,1.5,100.0,4,2.080632869164032
320,41.0,Pau,Torres,2,4.3,0.3,100.0,3,2.076268763811811
804,597.0,Richarlison,de Andrade,4,6.3,5.6,100.0,4,2.069424432322268
689,276.0,Justin,Devenny,3,4.3,1.1,100.0,4,2.0622856413963833
256,271.0,Daichi,Kamada,3,5.0,0.1,100.0,4,2.0576334142822623
225,413.0,Omar,Marmoush,3,8.3,2.5,100.0,3,2.0565324918514007
265,489.0,Jacob,Murphy,3,5.9,0.6,100.0,3,2.0449053769011036
745,719.0,Victor,Lindelöf,2,4.5,0.1,100.0,3,2.0252115385130036
139,676.0,Lesley,Ugochukwu,3,5.0,0.1,100.0,3,2.025190099386107
155,365.0,Lukas,Nmecha,4,5.0,0.6,100.0,1,2.0230026307202102
300,424.0,Oscar,Bobb,3,5.1,0.2,100.0,5,2.0217894233832423
531,456.0,Jadon,Sancho,3,5.8,0.2,100.0,3,2.014131055014053
727,338.0,Rodrigo,Muniz Carvalho,4,5.3,0.7,100.0,5,2.0114849623056914
732,499.0,Alexander,Isak,4,10.3,4.3,100.0,4,2.0036046258576916
303,486.0,Anthony,Elanga,3,6.5,2.7,100.0,3,2.0009285468432023
403,33.0,Marco,Bizot,1,4.2,0.4,100.0,3,1.9994929934354397
324,304.0,Tim,Iroegbunam,3,4.8,0.0,100.0,4,1.984285922547033
250,32.0,Emiliano,Martínez Romero,1,5.1,4.7,100.0,3,1.9785107557703343
662,442.0,Harry,Maguire,2,4.4,1.3,100.0,3,1.9735369263008589
156,391.0,Ben,Gannon-Doak,3,4.8,0.0,100.0,3,1.9684541662309478
180,152.0,Joël,Veltman,2,4.3,0.1,100.0,3,1.9638068931824513
500,497.0,Lewis,Miley,3,4.4,1.9,100.0,3,1.9610495073029701
11,247.0,Dário,Luís Essugo,3,4.3,0.1,100.0,3,1.9584374698368017
582,670.0,Robin,Roefs,1,4.8,8.6,100.0,2,1.958251828971003
373,325.0,Emile,Smith Rowe,3,5.6,0.5,100.0,5,1.9519127367349942
559,796.0,Conor,Gallagher,3,5.0,0.1,100.0,4,1.9494346937540727
701,635.0,Rodrigo,Martins Gomes,2,4.4,0.1,100.0,2,1.9468776997068868
392,632.0,Matt,Doherty,2,4.4,0.1,100.0,2,1.9457433142278975
174,415.0,Sávio,Moreira de Oliveira,3,6.9,0.4,100.0,3,1.9450050825508003
465,560.0,Wilson,Isidor,4,5.0,1.4,100.0,2,1.944958802490165
70,244.0,Roméo,Lavia,3,4.9,0.0,100.0,3,1.9407043563099093
580,629.0,Daniel,Bentley,1,3.9,0.5,100.0,2,1.9142089322331703
267,591.0,Archie,Gray,3,4.8,0.2,100.0,4,1.9068422715801316
266,587.0,Yves,Bissouma,3,5.2,0.0,100.0,4,1.9035969836467102
388,585.0,Rodrigo,Bentancur,3,5.2,0.2,100.0,4,1.9026250279053698
687,254.0,Walter,Benítez,1,3.9,0.3,100.0,4,1.901733425393023
755,50.0,Emiliano,Buendía Stati,3,5.3,0.4,100.0,3,1.8589330108721756
494,370.0,Jeremie,Frimpong,2,5.7,5.1,100.0,4,1.8575053849737637
651,11.0,Benjamin,White,2,5.1,0.5,100.0,3,1.8506991831673323
400,726.0,Randal,Kolo Muani,4,6.9,0.4,100.0,4,1.849278677635494
317,662.0,Cristhian,Mosquera,2,5.3,0.2,100.0,3,1.846844657214089
366,270.0,Will,Hughes,3,4.7,0.1,100.0,4,1.843213070560829
808,673.0,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,3,5.5,0.8,100.0,4,1.8405712909471188
448,262.0,Chadi,Riad Dnanou,2,4.0,0.0,100.0,4,1.83872726173303
543,586.0,Lucas,Bergvall,3,5.2,0.2,100.0,4,1.8330519089819843
228,680.0,Armando,Broja,4,5.2,0.1,100.0,3,1.8221926003419926
409,263.0,Nathaniel,Clyne,2,3.8,0.5,100.0,4,1.8137860200038072
792,335.0,Josh,King,3,4.4,1.7,100.0,5,1.8046478220556348
497,438.0,Noussair,Mazraoui,2,4.9,0.2,100.0,3,1.7949753775180748
541,541.0,Reinildo,Mandava,2,3.8,2.9,100.0,2,1.7931955329958311
246,734.0,Dilane,Bakwa,3,5.9,0.0,100.0,3,1.7858925098184033
50,225.0,Reece,James,2,5.6,5.9,75.0,3,1.7763482717570533
235,217.0,Lyle,Foster,4,4.9,0.8,100.0,3,1.775323463400381
