,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
165,556.0,Pierre,Ekwah Elimby,3,4.5,0.0,4,1.0,1.6572412747575678
563,554.0,Abdoullah,Ba,3,4.3,0.3,4,1.0,1.6572412747575678
459,528.0,Anthony,Patterson,1,4.2,0.1,4,1.0,1.6572412747575678
460,543.0,Simon,Adingra,3,4.9,0.3,4,1.0,1.6572412747575678
337,537.0,Niall,Huggins,2,4.0,0.1,4,1.0,1.6572412747575678
338,542.0,Jenson,Seelt,2,4.0,0.1,4,1.0,1.6572412747575678
339,548.0,Romaine,Mundle,3,4.9,0.0,4,1.0,1.6572412747575678
451,550.0,Ian,Poveda-Ocampo,3,4.7,0.0,4,1.0,1.6572412747575678
166,562.0,Ahmed,Abdullahi,4,4.2,0.4,4,1.0,1.6572412747575678
167,564.0,Nazarii,Rusyn,4,4.4,0.1,4,1.0,1.6572412747575678
442,426.0,James,McAtee,3,5.0,0.1,1,1.0,1.6571284317940849
343,637.0,Toti,Gomes,2,4.2,0.1,3,1.0,1.6564366585100843
183,389.0,Harvey,Elliott,3,5.1,0.2,2,1.0,1.6395383659457303
177,58.0,Boubacar,Kamara,3,4.9,0.2,2,1.0,1.6395383659457303
199,781.0,TJ,Carroll,2,4.0,0.0,2,1.0,1.6395383659457303
209,43.0,Álex,Moreno Lopera,2,4.0,1.6,2,1.0,1.6395383659457303
212,60.0,Ben,Broggio,3,4.4,0.2,2,1.0,1.6395383659457303
141,754.0,George,Hemmings,3,4.5,0.0,2,1.0,1.6395383659457303
117,61.0,Leander,Dendoncker,3,4.5,0.1,2,1.0,1.6395383659457303
252,57.0,Lewis,Dobbin,3,5.0,0.0,2,1.0,1.6395383659457303
411,63.0,Kadan,Young,3,4.3,0.5,2,1.0,1.6395383659457303
4,56.0,Enzo,Barrenechea,3,5.0,0.0,2,1.0,1.6395383659457303
37,65.0,Zépiqueno,Redmond,4,4.5,0.3,2,1.0,1.6395383659457303
85,46.0,Yasin,Özcan,2,4.0,0.1,2,1.0,1.6395383659457303
405,701.0,Triston,Rowe,2,4.0,0.1,2,1.0,1.6395383659457303
69,703.0,Sam,Proctor,1,3.9,0.6,2,1.0,1.6395383659457303
346,757.0,Ronnie,Hollingshead,1,4.0,0.0,2,1.0,1.6395383659457303
354,34.0,Joe,Gauci,1,4.0,0.1,2,1.0,1.6395383659457303
356,62.0,Jamaldeen,Jimoh-Aloba,3,4.5,0.1,2,1.0,1.6395383659457303
3,35.0,Filip,Marschall,1,4.0,0.0,2,1.0,1.6395383659457303
86,51.0,Samuel,Iling-Junior,3,5.5,0.0,2,1.0,1.6395383659457303
501,702.0,Bradley,Burrowes,3,4.3,0.1,2,1.0,1.6395383659457303
72,710.0,Travis,Patterson,2,3.9,0.2,2,1.0,1.6395383659457303
110,688.0,James,Wright,1,3.9,0.6,2,1.0,1.6395383659457303
427,42.0,Andrés,García,2,3.9,0.2,2,1.0,1.6395383659457303
384,53.0,Donyell,Malen,3,5.1,0.4,2,1.0,1.6395383659457303
375,768.0,Leon,Routh,2,4.0,0.0,2,1.0,1.6395383659457303
